date,title,link,sentiment,recommendation
10.2.2023,Котација на државни обврзници,https://www.mse.mk/mk/news/10/2/2023/listing-of-government-bonds-on-the-macedonian-stock-exchange,Neutral,Hold
09.2.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/9/2/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
08.2.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/8/2/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
07.2.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/7/2/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
06.2.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/6/2/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
03.2.2023,Билтен за месец јануари 2023 година,https://www.mse.mk/mk/news/3/2/2023/bulletin-for-january-2023,Negative,Sell
03.2.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/3/2/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
02.2.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/2/2/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
31.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/31/1/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
30.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/30/1/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
26.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/26/1/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
25.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/25/1/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
24.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/24/1/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
23.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/23/1/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
20.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/20/1/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
18.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/18/1/2023/non-trade-transfers-of-listed-companies-shares,Negative,Sell
17.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/17/1/2023/non-trade-transfers-of-listed-companies-shares,Negative,Sell
16.1.2023,Годишен билтен за 2022 година,https://www.mse.mk/mk/news/16/1/2023/bulletin-for-2022,Positive,Buy
16.1.2023,Котација на државни обврзници,https://www.mse.mk/mk/news/16/1/2023/listing-of-government-bonds-on-the-macedonian-stock-exchange,Neutral,Hold
16.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/16/1/2023/non-trade-transfers-of-listed-companies-shares,Negative,Sell
13.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/13/1/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
12.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/12/1/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
11.1.2023,Список на издавачи што ги исполнуваат условите за примена на новиот Кодекс за корпоративно управување,https://www.mse.mk/mk/news/11/1/2023/list-of-publishers-that-meet-the-requirements-for-the-application-of-the-new-corporate-governance-code,Positive,Buy
11.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/11/1/2023/non-trade-transfers-of-listed-companies-shares,Negative,Sell
10.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/10/1/2023/non-trade-transfers-of-listed-companies-shares,Negative,Sell
09.1.2023,Котација на државни обврзници,https://www.mse.mk/mk/news/9/1/2023/listing-of-government-bonds-on-the-macedonian-stock-exchange,Neutral,Hold
09.1.2023,Нетрговски трансфер на акции на котирани друштва,https://www.mse.mk/mk/news/9/1/2023/non-trade-transfers-of-listed-companies-share,Negative,Sell
